0xE3FBEE9A, ceb54465-4a9b-4705-9903-567b7b59ebab
0xFDE76E45, 44d5ccba-afa0-415f-a43a-61c91d9d9357
0x4C336751, 37208475-f68e-4e5d-97d1-7c7fa25a41b4
0x7F554C58, 53987c9e-d042-4d6b-9bc6-df025d879337
0x7AF8037E, player_name
0x3F037822, a_forced_box_weapons_override
0xFA3ED887, n_forced_box_index_override
0x2DE5D23C, a_weapons
0xB99B93B9, arrayinsert
0xBC13F489, pos
0x8BA04402, gettagorigin
0xED2C8382, getplayerangles
0xAA82CC55, camerasetposition
0x1BCDBA, camera_active
0x79B89FCF, false
0x867CA2F2, cameraactivate
0x5726CFF0, unlink
0x86A206D3, originobj
